,0
657,pard3
658,crispld1
659,gtf2h2
660,btbd8
661,trim34
662,snord35b
663,ctage5
664,gtf2ird2b
665,cep170
666,cep170p1
667,sdccag8
668,znf625
669,ppfibp1
670,fkbp1b
671,cep350
672,rgpd3
673,eif3a
674,arfgef2
675,osbp
676,snora22
677,zc3h11a
678,atp2a3
679,fhod1
680,plekhm1
681,araf
682,elf4
683,prr14
684,gga3
685,crtc2
686,herc2
687,rp9p
688,cadps
689,siglec15
690,stard8
691,dync2h1
692,prkar2b
693,tnni2
694,camk1
695,nbr2
696,kansl1
697,lrrc37a2
698,lrrc37a3
699,stx16
700,lrrc37a
701,lrig2
702,nek2
703,dscaml1
704,fxyd2
705,chrna9
706,ptpn3
707,vipr2
708,cacnb2
709,prcd
710,pcbd1
711,tg
712,ints3
713,terf2
714,scn3b
715,cdkl1
716,fam156a
717,msh5-sapcd1
718,muc20
719,tnk2
720,gtf2ird2
721,pnpla7
722,nudcd2
723,rrn3p3
724,snx29p1
725,fam72b
726,fam72a
727,rnf5
728,arhgap11a
729,blm
730,cdca2
731,smc2
732,znf354c
733,fmnl2
734,procr
735,cdkn2c
736,znf667
737,pbx4
738,pard3
739,crispld1
740,kif14
741,bub1b
742,cenpe
743,kif18a
744,nuf2
745,cenpf
746,mki67
747,cit
748,fech
749,gype
750,tspo2
751,hepacam2
752,cr1l
753,epb42
754,gypa
755,ahsp
756,tmod1
757,nrxn3
758,prss27
759,pcdh10
760,cxadr
761,fam171a2
762,rnd2
763,vrk2
764,plekhh1
765,znf219
766,arhgap39
767,sbk1
768,fblim1
769,reep2
770,phldb3
771,tmem213
772,foxo3
773,nudt4
774,zbtb10
775,btbd3
776,socs2
777,ankrd39
778,dctn4
779,chst2
780,mboat2
781,znf492
782,znf90
783,znf850
784,znf829
785,znf43
786,znf695
787,znf845
788,fancb
789,pigb
790,znf726
791,znf329
792,rgpd3
793,eif3a
794,arfgef2
795,osbp
796,snora22
797,zc3h11a
798,nbea
799,cep250
800,ptprcap
801,epb41l2
802,bub1b
803,odf2
804,exoc4
805,dnmt1
806,ssbp2
807,neu3
808,cox20
809,sv2a
810,myb
811,usp49
812,cdc14b
813,fam98b
814,wnt10a
815,mtfp1
816,rgpd1
817,gimap5
818,trappc2
819,ube2q1
820,bet1l
821,pms2cl
822,cox20
823,s1pr2
824,areg
825,fkbp9
826,iqgap3
827,donson
828,cit
829,mmp28
830,mrc1
831,srgap2
832,fyn
833,cspg4
834,ryk
835,f2r
836,stac3
837,tspan15
838,kcnq5
839,ncf4
840,il2ra
841,tnfrsf1b
842,ifi30
843,tmbim1
844,zbtb7b
845,pik3r5
846,mvp
847,nkg7
848,rassf3
849,dlg1
850,linc00239
851,pvrig
852,lime1
853,pdzd8
854,cd27
855,tsr1
856,alkbh6
857,ar
858,cdo1
859,sh3bp4
860,fam124a
861,gatm
862,ankrd18dp
863,kcnj12
864,eda
865,plekha6
866,aox1
867,anks1b
868,grik3
869,fam171b
870,mpped2
871,apba1
872,defa4
873,apoc1
874,gpnmb
875,c1qc
876,cxcl12
877,vcam1
878,rps19bp1
879,sptan1
880,qrich2
881,cul7
882,pcdhb15
883,pcdhb13
884,pcdhb10
885,pcdhb12
886,pcdhga10
887,or13a1
888,gpr17
889,brca2
890,parpbp
891,ckap2
892,smc4
893,atad2
894,ttk
895,wee1
896,rapgef5
897,cd1a
898,myo7b
899,npm2
900,tcf7
901,aldh3a2
902,pde9a
903,pkd1
904,ddx12p
905,lig1
906,gbap1
907,rad54l
908,tspan13
909,glipr1l2
910,hhex
911,tcea3
912,klhl32
913,tlr5
914,msi2
915,gadd45g
916,cx3cr1
917,gzmb
918,serpina1
919,sh2d1b
920,klrc1
921,fgl2
922,nbpf1
923,acacb
924,capn5
925,sptan1
926,pcnt
927,kdelr2
928,ap3s1
929,cubn
930,vav2
931,myo9b
932,srebf2
933,abcc1
934,trappc9
935,pi4kap2
936,phka2
937,trrap
938,nomo1
939,sptb
940,ca1
941,alas2
942,epb42
943,tmcc2
944,hbd
945,osbp2
946,nrxn3
947,mrc1
948,vwa2
949,siglec15
950,tiam2
951,terf2
952,npr1
953,kcnq5
954,fam114a1
955,slc30a4
956,chrm3
957,slc35e3
958,shisa9
959,ect2
960,blm
961,cdca2
962,smc2
963,ppip5k1
964,acot12
965,c20orf96
966,hspbap1
967,catsperg
968,polg2
969,strc
970,cr2
971,gramd4
972,nlgn4x
973,kctd1
974,clip3
975,gxylt2
976,tspan7
977,clc
978,rnase2
979,epx
980,elane
981,tcn1
982,tmem191c
983,mov10
984,pi4ka
985,ywhab
986,hic2
987,tusc1
988,stard13
989,kcnk3
990,gng11
991,kif26a
992,sdc2
993,fzd1
994,adarb1
995,cdc42bpb
996,mipol1
997,bace1
998,nmnat3
999,apba1
1000,intu
1001,dock1
1002,kiaa1217
1003,ptgr1
1004,dscaml1
1005,chrna9
1006,ptpn3
1007,vipr2
1008,hmmr
1009,tubg1
1010,bub1
1011,dlgap5
1012,unc5b
1013,adm2
1014,lgi4
1015,myo7a
1016,abl1
1017,tmem63c
1018,miox
1019,lrrc2
1020,nfatc4
1021,cdo1
1022,sh3bp4
1023,ankrd18dp
1024,fam124a
1025,gatm
1026,kcnj12
1027,eda
1028,plekha6
1029,aox1
1030,anks1b
1031,grik3
1032,fam171b
1033,mpped2
1034,apba1
1035,wash2p
1036,wash3p
1037,ino80b
1038,wash7p
1039,man1b1
1040,clasrp
1041,bcrp3
1042,snrnp70
1043,grap
1044,polr2j2
1045,glrx2
1046,lrrc37a
1047,ryr3
1048,ano1
1049,itpr3
1050,stag3
1051,rnf103-chmp3
1052,nbpf14
1053,pom121c
