"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same"
"GSM5491887_16.373","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491888_16.374","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491889_16.376","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491890_16.378","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_380","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_464","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_363","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_365","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_444","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_368","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_358","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_172","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_171","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_243","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_291","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_310","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_546","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_563","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_553","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_555","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_559","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_458","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_391","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_459","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_402","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_5","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_8","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_502","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_486","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_537","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_495","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_542","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_205","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_210","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_257","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_244","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_467","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_472","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_466","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_484","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_470","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_475","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_290","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_295","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_299","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_268","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_302","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_704","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_707","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_319","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_686","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_695","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_633","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_702","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_166","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_176","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_612","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_619","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_624","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_626","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_622","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_627","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_629","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_631","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_656","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_634","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_740","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_669","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_4","Unkown","T Cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_644","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_49","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_678","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_679","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_422","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_372","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_300","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_367","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_314","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_376","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_442","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_682","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_683","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_750","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_713","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_735","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_680","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_681","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_738","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_734","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_689","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_688","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_693","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_745","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_747","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_539","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_621","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_618","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_620","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_536","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_392","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_431","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_390","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_528","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_504","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_460","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_646","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_665","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_613","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_489","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_468","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_493","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_532","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_395","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_557","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_373","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_381","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_435","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_609","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_606","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_602","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_313","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_321","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_317","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_221","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_206","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_202","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_106","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_462","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_544","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_254","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_262","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_312","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_167","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_174","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_465","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_485","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_474","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_11","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_28","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_63","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_29","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_324","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_378","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_412","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_410","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_420","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_403","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_160","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_113","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_164","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_57","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_52","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_61","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_62","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_141","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_125","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_388","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_386","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_389","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_529","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_157","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_200","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_58","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_246","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_284","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_351","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_236","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_247","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_215","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_248","Unkown","T Cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_595","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_598","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_584","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_567","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_456","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_371","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_488","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_477","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_482","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_514","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_513","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_219","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_218","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_217","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL_232","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_494","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_492","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_503","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_293","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_7","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_16","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_357","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_382","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
